Year,Mustang,Lower Dolpa,Upper Dolpa,Humla,Manaslu,Kanchenjunga,T. Valley,Gorkha Narphu,Others,Total
2013,2862,585,338,1603,4439,837,1179,862,232,12937
2014,3883,1117,469,492,3764,777,1454,776,2333,15065
2015,2673,788,328,1346,2134,731,636,770,273,9679
2016,3984,1023,531,10105,4650,502,1219,903,356,23569
2017,4240,924,425,13398,6632,479,1681,1115,1099,29993
2018,4116,1222,525,10814,7371,970,2030,1291,537,28876
2019,3739,1263,1530,8670,6070,911,1393,1066,437,24079
2020,62,12,1,22,360,55,138,17,25,692
2021,362,168,75,148,908,137,152,259,117,2326
2022,3387,786,492,1442,5890,858,1279,1194,453,15781
2023,1198,365,145,178,3094,405,753,512,204,6854
2024,5614,1348,657,1045,12810,1902,2567,1925,1026,28894
2025,4178,1092,281,770,14720,1680,2513,1672,625,27531
